Subject,Topic,Level,Accuracy,Time,New_Subject,New_Topic,New_Level
DSA,Dynamic Programming,medium,35.78,430,DSA,Dynamic Programming,easy
CN,Network Security,easy,41.3,257,CN,Network Security,easy
Operating System,Virtual Memory,easy,58.75,317,Operating System,CPU Scheduling,easy
DSA,Graphs,medium,54.66,267,DSA,Searching & Sorting,medium
Operating System,System Calls,medium,42.15,375,Operating System,System Calls,easy
Operating System,Memory Management,medium,45.1,354,Operating System,Memory Management,easy
DSA,Linked List,easy,36.5,428,DSA,Linked List,easy
DBMS,SQL Queries,easy,47.03,223,DBMS,SQL Queries,easy
Operating System,File System,medium,41.21,215,Operating System,File System,easy
CN,Routing Algorithms,easy,55.37,316,CN,OSI Model,easy
CN,Network Security,medium,37.79,266,CN,Network Security,easy
DBMS,ACID Properties,hard,95.59,543,DBMS,File Organization,hard
CN,IP Addressing & Subnetting,easy,52.67,255,CN,Switching Techniques,easy
CN,Network Security,hard,67.65,540,CN,Data Link Layer Protocols,hard
DBMS,File Organization,easy,47.49,155,DBMS,File Organization,easy
Operating System,Process Management,medium,41.03,440,Operating System,Process Management,easy
DSA,Searching & Sorting,medium,63.03,392,DSA,Stacks & Queues,medium
Operating System,CPU Scheduling,easy,85.78,174,Operating System,Paging & Segmentation,hard
Operating System,System Calls,easy,76.45,252,Operating System,Synchronization,easy
Operating System,Deadlocks,hard,48.78,575,Operating System,Deadlocks,easy
DSA,Linked List,easy,38.68,404,DSA,Linked List,easy
DBMS,Joins,medium,63.35,410,DBMS,File Organization,medium
DBMS,Relational Model,easy,98.48,325,DBMS,SQL Queries,hard
DBMS,File Organization,medium,58.62,459,DBMS,Normalization,medium
DBMS,ACID Properties,medium,60.72,596,DBMS,ACID Properties,medium
DSA,Trees,medium,73.69,169,DSA,Graphs,medium
DSA,Searching & Sorting,easy,71.15,173,DSA,Arrays & Strings,easy
DSA,Greedy Algorithms,medium,72.93,410,DSA,Searching & Sorting,medium
Operating System,Paging & Segmentation,hard,42.57,446,Operating System,Paging & Segmentation,easy
DSA,Linked List,hard,87.6,518,DSA,Linked List,hard
CN,OSI Model,medium,43.99,417,CN,OSI Model,easy
CN,Transport Layer Protocols,medium,35.21,441,CN,Transport Layer Protocols,easy
Operating System,Interprocess Communication (IPC),easy,70.38,563,Operating System,I/O Management,easy
DBMS,File Organization,medium,51.17,131,DBMS,Relational Model,medium
Operating System,Threading & Concurrency,hard,94.82,407,Operating System,Interprocess Communication (IPC),hard
CN,Application Layer Protocols,medium,97.17,575,CN,Network Security,hard
Operating System,Threading & Concurrency,easy,37.42,542,Operating System,Threading & Concurrency,easy
Operating System,Memory Management,hard,33.11,518,Operating System,Memory Management,easy
DSA,Trees,medium,56.05,471,DSA,Stacks & Queues,medium
DBMS,Joins,medium,72.78,197,DBMS,ACID Properties,medium
DBMS,ER Model,medium,66.33,426,DBMS,File Organization,medium
DBMS,Joins,medium,97.0,172,DBMS,ER Model,hard
DBMS,File Organization,medium,60.65,155,DBMS,Indexing,medium
DSA,Recursion & Backtracking,medium,82.33,302,DSA,Recursion & Backtracking,medium
Operating System,File System,hard,40.6,480,Operating System,File System,easy
Operating System,Virtual Memory,easy,70.33,545,Operating System,Synchronization,easy
Operating System,CPU Scheduling,easy,76.96,223,Operating System,Deadlocks,easy
Operating System,Synchronization,hard,51.51,419,Operating System,File System,hard
DBMS,File Organization,easy,83.11,355,DBMS,Transactions & Concurrency Control,easy
DBMS,Normalization,easy,93.12,146,DBMS,Transactions & Concurrency Control,hard
DBMS,Normalization,easy,52.47,357,DBMS,Normalization,easy
DSA,Trees,easy,85.03,297,DSA,Graphs,hard
DSA,Searching & Sorting,easy,85.23,596,DSA,Trees,hard
DBMS,ACID Properties,easy,95.19,351,DBMS,SQL Queries,hard
CN,TCP/IP Model,easy,92.0,203,CN,Switching Techniques,hard
DBMS,Normalization,easy,79.84,274,DBMS,Indexing,easy
DSA,Linked List,medium,63.65,161,DSA,Linked List,medium
CN,Routing Algorithms,easy,72.6,499,CN,Application Layer Protocols,easy
DSA,Arrays & Strings,medium,37.74,252,DSA,Arrays & Strings,easy
CN,Transport Layer Protocols,medium,74.23,471,CN,TCP/IP Model,medium
CN,Network Security,medium,78.1,428,CN,OSI Model,medium
CN,Application Layer Protocols,easy,95.91,245,CN,Network Security,hard
DBMS,Joins,medium,72.14,198,DBMS,File Organization,medium
DBMS,ER Model,medium,64.77,394,DBMS,ER Model,medium
DSA,Graphs,easy,64.25,189,DSA,Graphs,easy
DSA,Recursion & Backtracking,medium,31.22,249,DSA,Recursion & Backtracking,easy
DBMS,Indexing,medium,42.23,401,DBMS,Indexing,easy
CN,IP Addressing & Subnetting,medium,78.26,197,CN,Switching Techniques,medium
CN,Transport Layer Protocols,hard,55.79,425,CN,Transport Layer Protocols,hard
CN,Transport Layer Protocols,hard,76.99,489,CN,Application Layer Protocols,hard
DBMS,Transactions & Concurrency Control,hard,38.53,219,DBMS,Transactions & Concurrency Control,easy
DBMS,Transactions & Concurrency Control,easy,39.27,355,DBMS,Transactions & Concurrency Control,easy
DSA,Arrays & Strings,medium,90.36,428,DSA,Linked List,hard
DSA,Stacks & Queues,medium,82.86,162,DSA,Searching & Sorting,medium
DBMS,Indexing,medium,83.79,367,DBMS,Relational Model,medium
CN,Transport Layer Protocols,easy,92.65,321,CN,Application Layer Protocols,hard
CN,Routing Algorithms,hard,30.52,288,CN,Routing Algorithms,easy
DBMS,Joins,hard,40.07,447,DBMS,Joins,easy
DSA,Searching & Sorting,easy,71.41,283,DSA,Dynamic Programming,easy
Operating System,Operating System Architecture,hard,89.31,269,Operating System,Threading & Concurrency,hard
CN,Network Security,easy,45.86,302,CN,Network Security,easy
CN,IP Addressing & Subnetting,hard,68.61,363,CN,Switching Techniques,hard
Operating System,Paging & Segmentation,easy,73.94,427,Operating System,Process Management,easy
DSA,Trees,easy,50.1,297,DSA,Graphs,easy
CN,IP Addressing & Subnetting,hard,54.27,315,CN,IP Addressing & Subnetting,hard
Operating System,I/O Management,hard,83.83,160,Operating System,Disk Scheduling,hard
Operating System,Virtual Memory,easy,57.26,413,Operating System,Paging & Segmentation,easy
DSA,Linked List,easy,83.23,226,DSA,Trees,easy
CN,OSI Model,hard,62.63,483,CN,Data Link Layer Protocols,hard
Operating System,Paging & Segmentation,medium,52.6,240,Operating System,CPU Scheduling,medium
DBMS,Indexing,medium,74.01,517,DBMS,Relational Model,medium
DBMS,File Organization,hard,34.9,227,DBMS,File Organization,easy
Operating System,Disk Scheduling,hard,64.55,361,Operating System,Deadlocks,hard
CN,OSI Model,easy,85.47,535,CN,Data Link Layer Protocols,hard
DBMS,Transactions & Concurrency Control,medium,37.5,126,DBMS,Transactions & Concurrency Control,easy
DSA,Dynamic Programming,hard,66.18,538,DSA,Trees,hard
DSA,Dynamic Programming,hard,98.81,519,DSA,Arrays & Strings,hard
CN,Transport Layer Protocols,hard,53.39,592,CN,TCP/IP Model,hard
DBMS,ACID Properties,medium,51.2,293,DBMS,Joins,medium
Operating System,CPU Scheduling,hard,66.74,359,Operating System,Paging & Segmentation,hard
DBMS,Transactions & Concurrency Control,hard,63.52,249,DBMS,Normalization,hard
DBMS,Transactions & Concurrency Control,hard,86.21,265,DBMS,Relational Model,hard
DBMS,Transactions & Concurrency Control,easy,61.24,314,DBMS,Normalization,easy
DSA,Stacks & Queues,hard,89.88,590,DSA,Greedy Algorithms,hard
Operating System,Operating System Architecture,medium,96.18,489,Operating System,Operating System Architecture,hard
Operating System,Memory Management,easy,87.12,438,Operating System,Banker's Algorithm,hard
CN,TCP/IP Model,easy,68.54,570,CN,Switching Techniques,easy
CN,OSI Model,hard,33.69,467,CN,OSI Model,easy
DSA,Dynamic Programming,easy,95.16,221,DSA,Trees,hard
DSA,Linked List,easy,33.92,133,DSA,Linked List,easy
CN,Switching Techniques,hard,85.43,172,CN,Transport Layer Protocols,hard
Operating System,Disk Scheduling,medium,52.01,562,Operating System,Synchronization,medium
CN,Transport Layer Protocols,easy,36.07,244,CN,Transport Layer Protocols,easy
Operating System,Deadlocks,medium,84.35,468,Operating System,Paging & Segmentation,medium
Operating System,Synchronization,easy,43.15,588,Operating System,Synchronization,easy
DSA,Greedy Algorithms,easy,30.48,444,DSA,Greedy Algorithms,easy
CN,Routing Algorithms,hard,95.2,254,CN,Application Layer Protocols,hard
DSA,Dynamic Programming,easy,37.55,396,DSA,Dynamic Programming,easy
Operating System,Memory Management,hard,39.99,521,Operating System,Memory Management,easy
DBMS,Normalization,medium,57.91,288,DBMS,ACID Properties,medium
DBMS,File Organization,medium,40.15,550,DBMS,File Organization,easy
DBMS,ER Model,medium,56.33,285,DBMS,Relational Model,medium
Operating System,System Calls,medium,50.85,494,Operating System,Paging & Segmentation,medium
CN,Switching Techniques,medium,30.31,338,CN,Switching Techniques,easy
CN,Transport Layer Protocols,easy,73.55,553,CN,IP Addressing & Subnetting,easy
CN,Transport Layer Protocols,medium,81.69,361,CN,Switching Techniques,medium
Operating System,Memory Management,easy,42.6,363,Operating System,Memory Management,easy
Operating System,System Calls,medium,62.77,174,Operating System,Paging & Segmentation,medium
DSA,Trees,medium,37.72,316,DSA,Trees,easy
DSA,Arrays & Strings,hard,61.59,257,DSA,Graphs,hard
CN,Network Security,hard,44.83,600,CN,Network Security,easy
CN,Network Security,medium,89.5,168,CN,IP Addressing & Subnetting,hard
CN,Application Layer Protocols,hard,61.0,454,CN,Application Layer Protocols,hard
DSA,Linked List,easy,75.52,335,DSA,Dynamic Programming,easy
CN,IP Addressing & Subnetting,hard,85.92,493,CN,Routing Algorithms,hard
DBMS,SQL Queries,easy,49.33,329,DBMS,SQL Queries,easy
CN,Switching Techniques,medium,75.91,251,CN,Transport Layer Protocols,medium
Operating System,I/O Management,medium,83.83,160,Operating System,Memory Management,medium
CN,Data Link Layer Protocols,hard,86.75,431,CN,Switching Techniques,hard
DBMS,Transactions & Concurrency Control,easy,71.41,304,DBMS,Joins,easy
CN,IP Addressing & Subnetting,easy,78.07,380,CN,Network Security,easy
Operating System,Deadlocks,medium,49.51,415,Operating System,Deadlocks,easy
DSA,Dynamic Programming,hard,86.53,422,DSA,Graphs,hard
DBMS,ER Model,medium,55.25,238,DBMS,Joins,medium
DBMS,Normalization,medium,58.15,438,DBMS,Transactions & Concurrency Control,medium
DSA,Arrays & Strings,easy,72.72,425,DSA,Dynamic Programming,easy
DSA,Dynamic Programming,easy,93.81,468,DSA,Searching & Sorting,hard
CN,IP Addressing & Subnetting,hard,83.69,330,CN,IP Addressing & Subnetting,hard
DBMS,Relational Model,hard,62.76,510,DBMS,File Organization,hard
Operating System,Threading & Concurrency,easy,38.98,161,Operating System,Threading & Concurrency,easy
DSA,Linked List,hard,71.4,336,DSA,Greedy Algorithms,hard
DBMS,Relational Model,easy,49.14,132,DBMS,Relational Model,easy
Operating System,Virtual Memory,medium,79.27,374,Operating System,Threading & Concurrency,medium
DBMS,Indexing,easy,91.08,188,DBMS,Relational Model,hard
CN,Routing Algorithms,hard,60.72,122,CN,TCP/IP Model,hard
DSA,Searching & Sorting,easy,90.38,420,DSA,Searching & Sorting,hard
DBMS,ER Model,hard,63.27,463,DBMS,ER Model,hard
CN,Transport Layer Protocols,hard,97.18,124,CN,TCP/IP Model,hard
DBMS,Transactions & Concurrency Control,hard,44.2,357,DBMS,Transactions & Concurrency Control,easy
DBMS,Transactions & Concurrency Control,medium,69.06,170,DBMS,ER Model,medium
CN,Application Layer Protocols,medium,60.16,223,CN,TCP/IP Model,medium
CN,Application Layer Protocols,easy,85.55,186,CN,Application Layer Protocols,hard
Operating System,Virtual Memory,easy,76.86,335,Operating System,Process Management,easy
DSA,Graphs,medium,92.73,358,DSA,Dynamic Programming,hard
Operating System,I/O Management,easy,98.5,530,Operating System,Disk Scheduling,hard
DSA,Recursion & Backtracking,hard,95.68,241,DSA,Recursion & Backtracking,hard
CN,TCP/IP Model,medium,35.07,520,CN,TCP/IP Model,easy
CN,Data Link Layer Protocols,easy,80.84,506,CN,Transport Layer Protocols,easy
DBMS,Relational Model,hard,75.91,179,DBMS,Transactions & Concurrency Control,hard
Operating System,File System,medium,43.73,374,Operating System,File System,easy
Operating System,CPU Scheduling,easy,37.91,423,Operating System,CPU Scheduling,easy
DSA,Graphs,medium,60.27,177,DSA,Dynamic Programming,medium
DSA,Trees,medium,97.31,574,DSA,Stacks & Queues,hard
DSA,Greedy Algorithms,hard,85.0,197,DSA,Searching & Sorting,hard
DSA,Trees,hard,63.01,197,DSA,Stacks & Queues,hard
DBMS,ER Model,medium,59.43,307,DBMS,ER Model,medium
DBMS,Transactions & Concurrency Control,medium,66.65,471,DBMS,File Organization,medium
DSA,Recursion & Backtracking,hard,92.5,300,DSA,Linked List,hard
CN,IP Addressing & Subnetting,easy,92.95,218,CN,Transport Layer Protocols,hard
CN,Application Layer Protocols,easy,94.72,177,CN,TCP/IP Model,hard
Operating System,Interprocess Communication (IPC),medium,30.4,583,Operating System,Interprocess Communication (IPC),easy
DBMS,Transactions & Concurrency Control,hard,37.9,562,DBMS,Transactions & Concurrency Control,easy
DSA,Recursion & Backtracking,hard,60.32,200,DSA,Trees,hard
DSA,Dynamic Programming,medium,41.33,211,DSA,Dynamic Programming,easy
Operating System,Disk Scheduling,hard,85.46,481,Operating System,Disk Scheduling,hard
DSA,Arrays & Strings,hard,73.57,140,DSA,Greedy Algorithms,hard
DSA,Arrays & Strings,medium,33.89,237,DSA,Arrays & Strings,easy
DBMS,ER Model,medium,57.48,379,DBMS,Indexing,medium
DSA,Graphs,medium,48.04,295,DSA,Graphs,easy
CN,Application Layer Protocols,easy,38.01,297,CN,Application Layer Protocols,easy
CN,TCP/IP Model,hard,94.59,212,CN,Transport Layer Protocols,hard
DSA,Stacks & Queues,easy,87.59,223,DSA,Greedy Algorithms,hard
CN,Network Security,easy,42.76,518,CN,Network Security,easy
CN,Network Security,hard,53.83,176,CN,OSI Model,hard
CN,Data Link Layer Protocols,medium,43.7,565,CN,Data Link Layer Protocols,easy
Operating System,Paging & Segmentation,hard,85.31,246,Operating System,Synchronization,hard
DBMS,Transactions & Concurrency Control,medium,77.06,361,DBMS,Transactions & Concurrency Control,medium
CN,Transport Layer Protocols,hard,92.9,152,CN,Transport Layer Protocols,hard
CN,Routing Algorithms,easy,87.43,453,CN,Data Link Layer Protocols,hard
DBMS,Transactions & Concurrency Control,easy,31.56,286,DBMS,Transactions & Concurrency Control,easy
DBMS,ER Model,easy,55.66,560,DBMS,Normalization,easy
Operating System,Deadlocks,hard,93.05,126,Operating System,Paging & Segmentation,hard
DBMS,ACID Properties,medium,33.52,431,DBMS,ACID Properties,easy
DSA,Dynamic Programming,hard,95.04,443,DSA,Dynamic Programming,hard
CN,Data Link Layer Protocols,hard,44.77,238,CN,Data Link Layer Protocols,easy
CN,Routing Algorithms,easy,33.4,341,CN,Routing Algorithms,easy
Operating System,Threading & Concurrency,easy,52.08,203,Operating System,File System,easy
CN,IP Addressing & Subnetting,easy,63.29,401,CN,Data Link Layer Protocols,easy
CN,Routing Algorithms,easy,81.05,269,CN,TCP/IP Model,easy
DBMS,Indexing,easy,97.85,548,DBMS,Normalization,hard
DSA,Recursion & Backtracking,hard,85.39,131,DSA,Graphs,hard
DBMS,File Organization,easy,77.19,308,DBMS,SQL Queries,easy
DBMS,SQL Queries,easy,30.43,164,DBMS,SQL Queries,easy
Operating System,File System,hard,57.12,465,Operating System,System Calls,hard
CN,TCP/IP Model,hard,42.03,534,CN,TCP/IP Model,easy
CN,Switching Techniques,hard,89.46,402,CN,Routing Algorithms,hard
DSA,Stacks & Queues,easy,66.28,146,DSA,Graphs,easy
DSA,Recursion & Backtracking,easy,90.61,393,DSA,Graphs,hard
Operating System,Virtual Memory,easy,52.52,452,Operating System,System Calls,easy
Operating System,System Calls,hard,75.91,239,Operating System,System Calls,hard
DSA,Searching & Sorting,hard,63.69,582,DSA,Trees,hard
DSA,Linked List,hard,43.01,595,DSA,Linked List,easy
CN,Application Layer Protocols,hard,31.34,562,CN,Application Layer Protocols,easy
DBMS,Normalization,medium,51.41,151,DBMS,Joins,medium
Operating System,System Calls,medium,31.25,578,Operating System,System Calls,easy
CN,Network Security,medium,32.78,573,CN,Network Security,easy
DBMS,Transactions & Concurrency Control,hard,79.97,156,DBMS,Normalization,hard
DBMS,ER Model,medium,67.49,303,DBMS,Normalization,medium
DBMS,File Organization,medium,75.39,144,DBMS,SQL Queries,medium
Operating System,Memory Management,medium,96.1,548,Operating System,CPU Scheduling,hard
Operating System,Synchronization,hard,89.74,167,Operating System,Interprocess Communication (IPC),hard
CN,Routing Algorithms,easy,57.08,123,CN,Transport Layer Protocols,easy
DSA,Trees,medium,39.89,484,DSA,Trees,easy
DBMS,Joins,easy,74.14,260,DBMS,Joins,easy
CN,Switching Techniques,hard,43.19,178,CN,Switching Techniques,easy
DSA,Stacks & Queues,medium,96.26,584,DSA,Linked List,hard
CN,Routing Algorithms,medium,68.91,333,CN,TCP/IP Model,medium
CN,OSI Model,easy,88.87,329,CN,TCP/IP Model,hard
DSA,Graphs,hard,33.23,437,DSA,Graphs,easy
CN,IP Addressing & Subnetting,medium,37.44,281,CN,IP Addressing & Subnetting,easy
CN,OSI Model,easy,45.49,357,CN,OSI Model,easy
DBMS,ER Model,easy,74.53,372,DBMS,ACID Properties,easy
CN,Data Link Layer Protocols,medium,36.06,444,CN,Data Link Layer Protocols,easy
Operating System,Paging & Segmentation,hard,72.54,425,Operating System,Memory Management,hard
DSA,Greedy Algorithms,easy,41.39,386,DSA,Greedy Algorithms,easy
CN,Switching Techniques,medium,48.46,304,CN,Switching Techniques,easy
DBMS,Relational Model,medium,40.01,343,DBMS,Relational Model,easy
CN,IP Addressing & Subnetting,easy,96.13,498,CN,TCP/IP Model,hard
DBMS,ER Model,medium,90.5,491,DBMS,Relational Model,hard
CN,Network Security,easy,33.69,488,CN,Network Security,easy
Operating System,File System,hard,98.67,344,Operating System,Paging & Segmentation,hard
Operating System,I/O Management,easy,42.0,378,Operating System,I/O Management,easy
DBMS,Relational Model,easy,54.24,167,DBMS,File Organization,easy
CN,Routing Algorithms,easy,48.53,214,CN,Routing Algorithms,easy
CN,Data Link Layer Protocols,hard,74.55,575,CN,Application Layer Protocols,hard
DSA,Recursion & Backtracking,hard,64.7,480,DSA,Arrays & Strings,hard
CN,Routing Algorithms,medium,88.29,353,CN,Transport Layer Protocols,hard
CN,OSI Model,hard,34.28,391,CN,OSI Model,easy
Operating System,Disk Scheduling,medium,55.0,319,Operating System,Paging & Segmentation,medium
DBMS,SQL Queries,hard,33.13,556,DBMS,SQL Queries,easy
CN,Network Security,easy,85.11,398,CN,Network Security,hard
CN,Application Layer Protocols,easy,75.7,146,CN,Routing Algorithms,easy
DSA,Trees,medium,89.27,152,DSA,Recursion & Backtracking,hard
DBMS,Indexing,hard,90.12,374,DBMS,Transactions & Concurrency Control,hard
Operating System,Interprocess Communication (IPC),easy,97.54,543,Operating System,Operating System Architecture,hard
DBMS,File Organization,easy,96.54,186,DBMS,ER Model,hard
DBMS,SQL Queries,hard,78.65,310,DBMS,Normalization,hard
DBMS,Transactions & Concurrency Control,hard,47.31,375,DBMS,Transactions & Concurrency Control,easy
CN,Network Security,easy,80.05,563,CN,Network Security,easy
DSA,Dynamic Programming,easy,59.17,331,DSA,Recursion & Backtracking,easy
CN,Application Layer Protocols,medium,50.61,520,CN,Data Link Layer Protocols,medium
CN,TCP/IP Model,easy,47.29,246,CN,TCP/IP Model,easy
DBMS,File Organization,easy,61.89,315,DBMS,Indexing,easy
CN,Routing Algorithms,easy,48.78,126,CN,Routing Algorithms,easy
DSA,Stacks & Queues,hard,90.49,160,DSA,Searching & Sorting,hard
CN,OSI Model,hard,64.63,369,CN,IP Addressing & Subnetting,hard
CN,IP Addressing & Subnetting,medium,74.63,207,CN,TCP/IP Model,medium
Operating System,Disk Scheduling,medium,93.8,126,Operating System,Interprocess Communication (IPC),hard
CN,Transport Layer Protocols,hard,33.45,417,CN,Transport Layer Protocols,easy
Operating System,Disk Scheduling,easy,75.61,445,Operating System,CPU Scheduling,easy
DBMS,Indexing,medium,47.98,382,DBMS,Indexing,easy
Operating System,Banker's Algorithm,medium,55.06,429,Operating System,Synchronization,medium
CN,Switching Techniques,hard,51.7,200,CN,Network Security,hard
Operating System,I/O Management,easy,99.38,432,Operating System,File System,hard
DBMS,Transactions & Concurrency Control,easy,77.31,379,DBMS,Joins,easy
CN,Application Layer Protocols,hard,69.81,189,CN,Transport Layer Protocols,hard
DBMS,File Organization,hard,55.37,287,DBMS,Transactions & Concurrency Control,hard
Operating System,Interprocess Communication (IPC),medium,87.36,205,Operating System,System Calls,hard
DSA,Searching & Sorting,medium,75.28,504,DSA,Searching & Sorting,medium
CN,Data Link Layer Protocols,medium,44.87,410,CN,Data Link Layer Protocols,easy
Operating System,Interprocess Communication (IPC),easy,95.91,538,Operating System,Virtual Memory,hard
DBMS,SQL Queries,hard,91.63,539,DBMS,Indexing,hard
DSA,Dynamic Programming,easy,92.28,304,DSA,Graphs,hard
DBMS,File Organization,easy,48.71,533,DBMS,File Organization,easy
CN,Data Link Layer Protocols,easy,42.58,314,CN,Data Link Layer Protocols,easy
DBMS,SQL Queries,hard,76.57,542,DBMS,Joins,hard
DBMS,Normalization,hard,59.59,425,DBMS,ER Model,hard
DBMS,Relational Model,hard,40.88,144,DBMS,Relational Model,easy
Operating System,Deadlocks,medium,33.1,558,Operating System,Deadlocks,easy
DSA,Trees,easy,33.55,533,DSA,Trees,easy
Operating System,Process Management,hard,48.67,582,Operating System,Process Management,easy
CN,Application Layer Protocols,medium,73.37,550,CN,OSI Model,medium
DBMS,Relational Model,hard,89.6,208,DBMS,Indexing,hard
DBMS,ACID Properties,hard,53.68,431,DBMS,ER Model,hard
DBMS,ER Model,medium,71.09,313,DBMS,ACID Properties,medium
DBMS,Joins,hard,89.13,309,DBMS,Relational Model,hard
CN,Routing Algorithms,medium,37.71,179,CN,Routing Algorithms,easy
CN,Switching Techniques,medium,50.42,497,CN,Routing Algorithms,medium
DSA,Dynamic Programming,easy,39.91,537,DSA,Dynamic Programming,easy
Operating System,Virtual Memory,hard,91.13,262,Operating System,Synchronization,hard
CN,Switching Techniques,medium,56.22,465,CN,Application Layer Protocols,medium
DBMS,ACID Properties,hard,55.52,152,DBMS,File Organization,hard
DBMS,Joins,easy,57.08,184,DBMS,File Organization,easy
DSA,Recursion & Backtracking,medium,60.79,467,DSA,Trees,medium
DBMS,SQL Queries,hard,65.73,448,DBMS,ACID Properties,hard
CN,TCP/IP Model,medium,98.62,152,CN,TCP/IP Model,hard
CN,Data Link Layer Protocols,medium,66.24,193,CN,Switching Techniques,medium
Operating System,Banker's Algorithm,easy,91.31,557,Operating System,Paging & Segmentation,hard
DBMS,Indexing,medium,79.85,499,DBMS,File Organization,medium
Operating System,Paging & Segmentation,hard,38.62,306,Operating System,Paging & Segmentation,easy
DBMS,File Organization,hard,95.32,468,DBMS,Transactions & Concurrency Control,hard
CN,Routing Algorithms,medium,64.58,518,CN,Transport Layer Protocols,medium
DSA,Searching & Sorting,easy,92.78,172,DSA,Stacks & Queues,hard
Operating System,Deadlocks,hard,64.45,309,Operating System,CPU Scheduling,hard
Operating System,Paging & Segmentation,medium,50.25,545,Operating System,Disk Scheduling,medium
Operating System,Banker's Algorithm,hard,72.17,372,Operating System,Interprocess Communication (IPC),hard
DSA,Recursion & Backtracking,hard,83.59,329,DSA,Searching & Sorting,hard
CN,Routing Algorithms,medium,77.21,246,CN,OSI Model,medium
CN,Data Link Layer Protocols,hard,63.0,242,CN,OSI Model,hard
Operating System,I/O Management,hard,64.33,260,Operating System,Memory Management,hard
DSA,Trees,medium,35.89,529,DSA,Trees,easy
Operating System,Banker's Algorithm,hard,49.74,593,Operating System,Banker's Algorithm,easy
DSA,Dynamic Programming,hard,41.31,420,DSA,Dynamic Programming,easy
Operating System,System Calls,hard,78.42,176,Operating System,System Calls,hard
Operating System,Threading & Concurrency,hard,43.99,506,Operating System,Threading & Concurrency,easy
CN,Switching Techniques,easy,76.41,239,CN,Application Layer Protocols,easy
DBMS,ACID Properties,easy,85.65,213,DBMS,ACID Properties,hard
Operating System,Interprocess Communication (IPC),easy,33.85,226,Operating System,Interprocess Communication (IPC),easy
DSA,Recursion & Backtracking,medium,47.73,562,DSA,Recursion & Backtracking,easy
DSA,Recursion & Backtracking,medium,68.72,146,DSA,Linked List,medium
CN,Switching Techniques,easy,75.12,237,CN,Routing Algorithms,easy
CN,Routing Algorithms,easy,41.84,455,CN,Routing Algorithms,easy
Operating System,Banker's Algorithm,medium,69.84,583,Operating System,I/O Management,medium
CN,TCP/IP Model,hard,92.24,160,CN,Routing Algorithms,hard
DBMS,SQL Queries,hard,31.25,502,DBMS,SQL Queries,easy
Operating System,Deadlocks,medium,66.32,373,Operating System,System Calls,medium
DBMS,Normalization,hard,81.91,337,DBMS,Normalization,hard
CN,Network Security,easy,33.43,148,CN,Network Security,easy
DBMS,ACID Properties,medium,70.88,397,DBMS,ER Model,medium
CN,OSI Model,hard,32.99,347,CN,OSI Model,easy
DSA,Dynamic Programming,medium,48.25,524,DSA,Dynamic Programming,easy
CN,Application Layer Protocols,easy,69.6,473,CN,TCP/IP Model,easy
DSA,Trees,hard,43.54,445,DSA,Trees,easy
DBMS,Relational Model,hard,94.63,353,DBMS,File Organization,hard
CN,Transport Layer Protocols,easy,66.98,190,CN,Application Layer Protocols,easy
DSA,Recursion & Backtracking,hard,40.0,255,DSA,Recursion & Backtracking,easy
DSA,Dynamic Programming,medium,65.51,129,DSA,Dynamic Programming,medium
